_id,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TIMESTAMP,TIMESTAMP,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,createdAt,updatedAt,__v,SLBMH_TOT_VAL,VWAP,mTIMESTAMP,CA
688b588c0ee19dd92adc91b0,TATAMOTORS,EQ,N,2025-07-31,2025-07-30T18:30:00.000Z,673.4,652.35,659.85,665.95,666.45,668.45,18723710,12464381596.75,1179,535.75,291431,INE155A01022,2025-07-31T11:50:36.481Z,2025-07-31T11:50:36.481Z,0,,665.7,31-Jul-2025,
688a070bd278b8c17847a6c1,TATAMOTORS,EQ,N,2025-07-30,2025-07-29T18:30:00.000Z,690.0,665.25,690.0,668.45,668.0,692.35,18923129,12667617060.0,1179,535.75,405426,INE155A01022,2025-07-30T11:50:35.666Z,2025-07-30T11:50:35.666Z,0,,669.43,30-Jul-2025,
6888b58b1c90d019ecaeacb6,TATAMOTORS,EQ,N,2025-07-29,2025-07-28T18:30:00.000Z,694.0,680.6,681.9,692.35,691.75,682.9,6239871,4296280668.2,1179,535.75,135285,INE155A01022,2025-07-29T11:50:35.866Z,2025-07-29T11:50:35.866Z,0,,688.52,29-Jul-2025,
6887640b044c5411111c46d8,TATAMOTORS,EQ,N,2025-07-28,2025-07-27T18:30:00.000Z,700.5,681.4,690.7,682.9,684.05,687.4,7788718,5378990005.55,1179,535.75,141239,INE155A01022,2025-07-28T11:50:35.771Z,2025-07-28T11:50:35.771Z,0,,690.61,28-Jul-2025,
6883a1d218df3546ea2df36d,TATAMOTORS,EQ,N,2025-07-25,2025-07-24T18:30:00.000Z,702.45,684.7,701.0,687.4,687.55,700.5,7271718,5022996036.8,1179,535.75,143186,,2025-07-25T15:25:06.445Z,2025-07-25T15:25:06.445Z,0,,690.76,25-Jul-2025,
68835ccc4dc48b9c7744d1f7,TATAMOTORS,EQ,N,2025-07-24,2025-07-23T18:30:00.000Z,706.5,692.3,692.7,700.5,701.3,690.1,15197664,10670685136.65,1179,535.75,206983,,2025-07-25T10:30:36.416Z,2025-07-25T10:30:36.416Z,0,,702.13,24-Jul-2025,
6880fdc37ecfaaea17e57648,TATAMOTORS,EQ,N,2025-07-23,2025-07-22T18:30:00.000Z,693.1,676.25,676.7,690.1,690.9,673.4,14460727,9959611739.5,1179,535.75,196481,,2025-07-23T15:20:35.788Z,2025-07-23T15:20:35.788Z,0,,688.74,23-Jul-2025,
687fab36a686a06cbf0559cd,TATAMOTORS,EQ,N,2025-07-22,2025-07-21T18:30:00.000Z,688.85,672.35,688.0,673.4,675.5,687.45,7749518,5248679553.2,1179,535.75,190083,,2025-07-22T15:16:06.370Z,2025-07-22T15:16:06.370Z,0,,677.29,22-Jul-2025,
687f684dd7e70b10aff9b10a,TATAMOTORS,EQ,N,2025-07-21,2025-07-20T18:30:00.000Z,688.5,671.25,680.5,687.45,687.45,680.25,6731863,4589685772.9,1179,535.75,126501,,2025-07-22T10:30:37.150Z,2025-07-22T10:30:37.150Z,0,,681.79,21-Jul-2025,
687a350a3978ddd7569b6b95,TATAMOTORS,EQ,N,2025-07-18,2025-07-17T18:30:00.000Z,686.0,678.0,683.2,680.25,680.45,681.7,5558670,3788633741.95,1179,535.75,92747,INE155A01022,2025-07-18T11:50:34.855Z,2025-07-18T11:50:34.855Z,0,,681.57,18-Jul-2025,
6878e38b18dd117ed3bd08da,TATAMOTORS,EQ,N,2025-07-17,2025-07-16T18:30:00.000Z,686.9,678.15,679.0,681.7,682.2,679.0,6598144,4506501664.55,1179,535.75,118601,INE155A01022,2025-07-17T11:50:35.482Z,2025-07-17T11:50:35.482Z,0,,683.0,17-Jul-2025,
6877920a1a5d7281135d2f0b,TATAMOTORS,EQ,N,2025-07-16,2025-07-15T18:30:00.000Z,684.4,676.35,684.4,679.0,679.0,684.4,6244205,4240668251.55,1179,535.75,112327,INE155A01022,2025-07-16T11:50:34.777Z,2025-07-16T11:50:34.777Z,0,,679.14,16-Jul-2025,
