_id,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TIMESTAMP,TIMESTAMP,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,createdAt,updatedAt,__v,SLBMH_TOT_VAL,VWAP,mTIMESTAMP
65e9ac7f00d1fb4fc05be256,RELIANCE,EQ,N,2024-03-07,2024-03-06T18:30:00.000Z,3006.2,2951.1,3005.95,2957.85,2957.0,3006.0,4157863,12362839422.1,3024.9,2220.3,195070,INE002A01018,2024-03-07T12:01:03.575Z,2024-03-07T12:01:03.575Z,0,,2973.36,07-Mar-2024
65e85aff3d619fdb6b8a19b9,RELIANCE,EQ,N,2024-03-06,2024-03-05T18:30:00.000Z,3018.0,2957.0,2986.9,3006.0,3002.85,3000.4,3902838,11674786490.95,3024.9,2220.3,205634,INE002A01018,2024-03-06T12:01:03.114Z,2024-03-06T12:01:03.114Z,0,,2991.36,06-Mar-2024
65e7097fa0e4c105af47e2f9,RELIANCE,EQ,N,2024-03-05,2024-03-04T18:30:00.000Z,3014.8,2972.1,3011.55,3000.4,2996.0,3014.8,3553834,10634836947.9,3024.9,2220.3,213477,INE002A01018,2024-03-05T12:01:03.531Z,2024-03-05T12:01:03.531Z,0,,2992.5,05-Mar-2024
65e5b7ffb33976f8b974ccab,RELIANCE,EQ,N,2024-03-04,2024-03-03T18:30:00.000Z,3024.9,2974.45,2980.95,3014.8,3010.0,2982.15,5012210,15056320911.1,3024.9,2220.3,240680,INE002A01018,2024-03-04T12:01:03.142Z,2024-03-04T12:01:03.142Z,0,,3003.93,04-Mar-2024
65e3a21042d7e8ee3d2e7d6b,RELIANCE,EQ,N,2024-03-02,2024-03-01T18:30:00.000Z,3000.9,2976.0,2984.0,2982.15,2980.95,2984.25,358150,1070743614.7,3000.9,2220.3,18856,INE002A01018,2024-03-02T22:02:56.114Z,2024-03-02T22:02:56.114Z,0,,2989.65,02-Mar-2024
65e1c37e5c02be27622f9776,RELIANCE,EQ,N,2024-03-01,2024-02-29T18:30:00.000Z,3000.0,2925.0,2927.0,2984.25,2977.0,2921.6,6066463,17998957520.55,3000.0,2220.3,272154,INE002A01018,2024-03-01T12:01:02.669Z,2024-03-01T12:01:02.669Z,0,,2966.96,01-Mar-2024
65e071ff7c9755759afcfa05,RELIANCE,EQ,N,2024-02-29,2024-02-28T18:30:00.000Z,2957.95,2909.05,2930.0,2921.6,2930.75,2911.25,11814488,34582493286.65,2999.9,2220.3,298691,INE002A01018,2024-02-29T12:01:03.390Z,2024-02-29T12:01:03.390Z,0,,2927.13,29-Feb-2024
65df207fb16cbb57800ee933,RELIANCE,EQ,N,2024-02-28,2024-02-27T18:30:00.000Z,2982.55,2900.35,2966.0,2911.25,2915.0,2971.3,4323975,12673607274.5,2999.9,2220.3,216192,INE002A01018,2024-02-28T12:01:03.200Z,2024-02-28T12:01:03.200Z,0,,2931.01,28-Feb-2024
65ddceff3610846fc2bdf213,RELIANCE,EQ,N,2024-02-27,2024-02-26T18:30:00.000Z,2999.9,2956.1,2966.05,2971.3,2971.0,2974.65,5413022,16100408443.55,2999.9,2220.3,197414,INE002A01018,2024-02-27T12:01:03.216Z,2024-02-27T12:01:03.216Z,0,,2974.38,27-Feb-2024
65dc7d7f5707e970d05a9e33,RELIANCE,EQ,N,2024-02-26,2024-02-25T18:30:00.000Z,2989.05,2965.0,2987.1,2974.65,2975.1,2987.25,3756553,11173163735.6,2995.1,2220.3,141799,INE002A01018,2024-02-26T12:01:03.034Z,2024-02-26T12:01:03.034Z,0,,2974.31,26-Feb-2024
