_id,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TIMESTAMP,TIMESTAMP,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,createdAt,updatedAt,__v,SLBMH_TOT_VAL,VWAP,mTIMESTAMP,CA
68430d04358824362cdef25c,TATAMOTORS,EQ,N,2025-06-06,2025-06-05T18:30:00.000Z,715.9,701.2,710.0,711.0,711.6,710.15,11975812,8494237171.55,1179,535.75,179459,INE155A01022,2025-06-06T15:45:08.437Z,2025-06-06T15:45:08.437Z,0,,709.28,06-Jun-2025,
6841848a692502a9ae30306a,TATAMOTORS,EQ,N,2025-06-05,2025-06-04T18:30:00.000Z,714.45,704.0,712.8,710.15,710.1,709.15,10203331,7234125107.05,1179,535.75,152774,INE155A01022,2025-06-05T11:50:34.752Z,2025-06-05T11:50:34.752Z,0,,709.0,05-Jun-2025,
6840341a0ff63e5551aba7f4,TATAMOTORS,EQ,N,2025-06-04,2025-06-03T18:30:00.000Z,715.45,698.4,701.8,709.15,710.25,703.85,11287991,8002210218.05,1179,535.75,277497,INE155A01022,2025-06-04T11:55:06.158Z,2025-06-04T11:55:06.158Z,0,,708.91,04-Jun-2025,"[{'symbol': 'TATAMOTORS', 'series': 'EQ', 'ind': '-', 'faceVal': '2', 'subject': 'Dividend - Rs 6 Per Share', 'exDate': '04-Jun-2025', 'recDate': '04-Jun-2025', 'bcStartDate': '-', 'bcEndDate': '-', 'ndStartDate': '-', 'comp': 'Tata Motors Limited', 'isin': 'INE155A01014', 'ndEndDate': '-', 'caBroadcastDate': None}]"
683ee18a9f4bd1a18cd7bbb0,TATAMOTORS,EQ,N,2025-06-03,2025-06-02T18:30:00.000Z,718.35,702.3,715.0,703.85,704.3,711.6,9161608,6487196518.3,1179,535.75,208760,INE155A01022,2025-06-03T11:50:35.005Z,2025-06-03T11:50:35.005Z,0,,708.08,03-Jun-2025,
683d900a577bc3be60b3b202,TATAMOTORS,EQ,N,2025-06-02,2025-06-01T18:30:00.000Z,719.0,707.4,717.0,711.6,711.55,719.5,9712446,6919369538.35,1179,535.75,178127,INE155A01022,2025-06-02T11:50:34.665Z,2025-06-02T11:50:34.665Z,0,,712.42,02-Jun-2025,
68399e000eef016fd1815eab,TATAMOTORS,EQ,N,2025-05-30,2025-05-29T18:30:00.000Z,728.55,712.5,724.45,719.5,718.65,724.45,14533919,10449731838.45,1179,535.75,170723,INE155A01022,2025-05-30T12:01:04.378Z,2025-05-30T12:01:04.378Z,0,,718.99,30-May-2025,
68384c63aef1c81eca13f25f,TATAMOTORS,EQ,N,2025-05-29,2025-05-28T18:30:00.000Z,728.7,720.0,724.5,724.45,725.45,717.95,8838921,6398730595.85,1179,535.75,136523,INE155A01022,2025-05-29T12:00:35.481Z,2025-05-29T12:00:35.481Z,0,,723.93,29-May-2025,
6836fae210c56ec7b3aa7894,TATAMOTORS,EQ,N,2025-05-28,2025-05-27T18:30:00.000Z,722.0,716.2,720.0,717.95,717.25,716.45,7568961,5442127705.7,1179,535.75,117049,INE155A01022,2025-05-28T12:00:34.844Z,2025-05-28T12:00:34.844Z,0,,719.01,28-May-2025,
6835a9620a3e4624ed404240,TATAMOTORS,EQ,N,2025-05-27,2025-05-26T18:30:00.000Z,729.35,715.2,729.0,716.45,717.0,729.0,12223125,8796782486.15,1179,535.75,213762,INE155A01022,2025-05-27T12:00:34.631Z,2025-05-27T12:00:34.631Z,0,,719.68,27-May-2025,
683457e3eb139aba11dbac29,TATAMOTORS,EQ,N,2025-05-26,2025-05-25T18:30:00.000Z,738.0,721.2,722.0,729.0,729.2,718.25,13017400,9526431160.15,1179,535.75,174194,INE155A01022,2025-05-26T12:00:35.335Z,2025-05-26T12:00:35.335Z,0,,731.82,26-May-2025,
68306363f513e907b92c5ed5,TATAMOTORS,EQ,N,2025-05-23,2025-05-22T18:30:00.000Z,721.8,715.0,718.75,718.25,718.0,717.45,7915166,5691049306.85,1179,535.75,114102,INE155A01022,2025-05-23T12:00:35.873Z,2025-05-23T12:00:35.873Z,0,,719.01,23-May-2025,
682f11e294787be3d1b76c67,TATAMOTORS,EQ,N,2025-05-22,2025-05-21T18:30:00.000Z,725.0,710.65,725.0,717.45,718.5,726.8,10046820,7199224435.35,1179,535.75,178556,INE155A01022,2025-05-22T12:00:34.569Z,2025-05-22T12:00:34.569Z,0,,716.57,22-May-2025,
682dc067dfc7d9869249afda,TATAMOTORS,EQ,N,2025-05-21,2025-05-20T18:30:00.000Z,729.5,718.0,719.0,726.8,726.25,718.9,8998596,6527126522.45,1179,535.75,145016,INE155A01022,2025-05-21T12:00:39.152Z,2025-05-21T12:00:39.152Z,0,,725.35,21-May-2025,
682c6ee3dfc7d9869249a07d,TATAMOTORS,EQ,N,2025-05-20,2025-05-19T18:30:00.000Z,737.75,717.0,730.0,718.9,720.7,729.5,14472506,10511804020.4,1179,535.75,223690,INE155A01022,2025-05-20T12:00:35.035Z,2025-05-20T12:00:35.035Z,0,,726.33,20-May-2025,
682b1d629d9f64bbe228bd41,TATAMOTORS,EQ,N,2025-05-19,2025-05-18T18:30:00.000Z,738.1,728.0,732.0,729.5,728.7,730.7,10460217,7668971582.95,1179,535.75,189525,INE155A01022,2025-05-19T12:00:34.292Z,2025-05-19T12:00:34.292Z,0,,733.16,19-May-2025,
682733c8c58b1a3bffd5903c,TATAMOTORS,EQ,N,2025-05-16,2025-05-15T18:30:00.000Z,742.0,725.55,730.0,730.7,731.1,728.1,20631512,15126018409.45,1179,535.75,301374,INE155A01022,2025-05-16T12:47:04.293Z,2025-05-16T12:47:04.293Z,0,,733.15,16-May-2025,
6825d76235194a0e9c28eca3,TATAMOTORS,EQ,N,2025-05-15,2025-05-14T18:30:00.000Z,729.8,696.15,698.75,728.1,729.0,698.95,28634074,20561802513.75,1179,535.75,368702,INE155A01022,2025-05-15T12:00:34.671Z,2025-05-15T12:00:34.671Z,0,,718.09,15-May-2025,
682485e29fdb20d751c665f9,TATAMOTORS,EQ,N,2025-05-14,2025-05-13T18:30:00.000Z,708.0,686.0,690.0,698.95,700.2,707.7,31505402,21944572654.5,1179,535.75,529955,INE155A01022,2025-05-14T12:00:34.753Z,2025-05-14T12:00:34.753Z,0,,696.53,14-May-2025,
682334800e7e4417be18f7cf,TATAMOTORS,EQ,N,2025-05-13,2025-05-12T18:30:00.000Z,726.0,703.25,720.8,707.7,708.3,720.8,16125700,11502345598.95,1179,535.75,268737,INE155A01022,2025-05-13T12:01:04.028Z,2025-05-13T12:01:04.028Z,0,,713.29,13-May-2025,
6821e2ff11e2de75bde85217,TATAMOTORS,EQ,N,2025-05-12,2025-05-11T18:30:00.000Z,732.0,711.2,728.0,720.8,719.7,708.5,20133616,14498371601.2,1179,535.75,261307,INE155A01022,2025-05-12T12:01:03.549Z,2025-05-12T12:01:03.549Z,0,,720.11,12-May-2025,
681dee62f1eb37156d2c45eb,TATAMOTORS,EQ,N,2025-05-09,2025-05-08T18:30:00.000Z,711.0,666.0,667.5,708.5,709.0,682.85,40183276,28180598035.45,1179,535.75,523258,INE155A01022,2025-05-09T12:00:34.700Z,2025-05-09T12:00:34.700Z,0,,701.3,09-May-2025,
681c9ce50491569cb39c15d7,TATAMOTORS,EQ,N,2025-05-08,2025-05-07T18:30:00.000Z,704.5,677.2,700.0,682.85,680.4,680.3,29315465,20294654093.0,1179,535.75,366175,INE155A01022,2025-05-08T12:00:37.374Z,2025-05-08T12:00:37.374Z,0,,692.28,08-May-2025,
681b4b62d34b352f4e31a029,TATAMOTORS,EQ,N,2025-05-07,2025-05-06T18:30:00.000Z,682.5,641.15,642.0,680.3,681.8,648.2,30390515,20470218684.45,1179,535.75,366513,INE155A01022,2025-05-07T12:00:34.663Z,2025-05-07T12:00:34.663Z,0,,673.57,07-May-2025,
6819f9e341ab828a8418e001,TATAMOTORS,EQ,N,2025-05-06,2025-05-05T18:30:00.000Z,663.2,645.5,661.55,648.2,647.55,661.55,12718175,8290542879.9,1179,535.75,235348,INE155A01022,2025-05-06T12:00:35.449Z,2025-05-06T12:00:35.449Z,0,,651.87,06-May-2025,
6818a86318f1d8c619b48544,TATAMOTORS,EQ,N,2025-05-05,2025-05-04T18:30:00.000Z,666.65,655.85,662.95,661.55,662.2,652.0,8868484,5861408259.15,1179,535.75,159988,INE155A01022,2025-05-05T12:00:35.080Z,2025-05-05T12:00:35.080Z,0,,660.93,05-May-2025,
6814b3e5d03c850a14948150,TATAMOTORS,EQ,N,2025-05-02,2025-05-01T18:30:00.000Z,661.35,635.55,641.0,652.0,652.0,644.25,13141726,8577731081.1,1179,535.75,244150,INE155A01022,2025-05-02T12:00:37.401Z,2025-05-02T12:00:37.401Z,0,,652.71,02-May-2025,
681210e292b6bce7d25de9ab,TATAMOTORS,EQ,N,2025-04-30,2025-04-29T18:30:00.000Z,667.0,641.1,667.0,644.25,643.5,665.6,19485917,12580241417.75,1179,535.75,311644,INE155A01022,2025-04-30T12:00:34.827Z,2025-04-30T12:00:34.827Z,0,,645.61,30-Apr-2025,
6810bf62c8a06cbc7e32ae70,TATAMOTORS,EQ,N,2025-04-29,2025-04-28T18:30:00.000Z,682.9,661.6,671.45,665.6,667.3,668.15,13754685,9230585639.05,1179,535.75,224042,INE155A01022,2025-04-29T12:00:34.627Z,2025-04-29T12:00:34.627Z,0,,671.09,29-Apr-2025,
680f6de648956281fc9889e8,TATAMOTORS,EQ,N,2025-04-28,2025-04-27T18:30:00.000Z,669.6,652.55,654.3,668.15,668.0,655.25,10243493,6799752587.9,1179,535.75,168942,INE155A01022,2025-04-28T12:00:38.126Z,2025-04-28T12:00:38.126Z,0,,663.81,28-Apr-2025,
680b79805c8e81b21d4757ae,TATAMOTORS,EQ,N,2025-04-25,2025-04-24T18:30:00.000Z,673.0,651.5,668.35,655.25,654.15,668.35,13207043,8700324111.35,1179,535.75,221114,INE155A01022,2025-04-25T12:01:04.270Z,2025-04-25T12:01:04.270Z,0,,658.76,25-Apr-2025,
680a27e35c8e81b21d474a6b,TATAMOTORS,EQ,N,2025-04-24,2025-04-23T18:30:00.000Z,671.0,660.1,660.1,668.35,667.9,659.9,15172229,10104977369.05,1179,535.75,196582,INE155A01022,2025-04-24T12:00:35.136Z,2025-04-24T12:00:35.136Z,0,,666.02,24-Apr-2025,
6808d663f4d48eb7a74431e3,TATAMOTORS,EQ,N,2025-04-23,2025-04-22T18:30:00.000Z,661.5,633.35,635.95,659.9,658.85,630.85,23390570,15204311238.95,1179,535.75,321330,INE155A01022,2025-04-23T12:00:35.187Z,2025-04-23T12:00:35.187Z,0,,650.02,23-Apr-2025,
680784e2267b534799bde683,TATAMOTORS,EQ,N,2025-04-22,2025-04-21T18:30:00.000Z,633.95,626.2,630.25,630.85,630.5,630.05,10292748,6494713243.9,1179,535.75,190303,INE155A01022,2025-04-22T12:00:34.979Z,2025-04-22T12:00:34.979Z,0,,631.0,22-Apr-2025,
68063362161394a21f521fbe,TATAMOTORS,EQ,N,2025-04-21,2025-04-20T18:30:00.000Z,635.75,620.2,624.6,630.05,630.25,621.55,12785568,8030883889.15,1179,535.75,216143,INE155A01022,2025-04-21T12:00:34.708Z,2025-04-21T12:00:34.708Z,0,,628.12,21-Apr-2025,
6800ed63ae6a8571ece0d378,TATAMOTORS,EQ,N,2025-04-17,2025-04-16T18:30:00.000Z,627.0,608.25,616.05,621.55,621.0,616.05,14342652,8883711331.85,1179,535.75,238642,INE155A01022,2025-04-17T12:00:35.218Z,2025-04-17T12:00:35.218Z,0,,619.39,17-Apr-2025,
67ff9c0063d8a2d162c79fb0,TATAMOTORS,EQ,N,2025-04-16,2025-04-15T18:30:00.000Z,625.0,613.6,625.0,616.05,616.1,622.2,12318376,7597130469.75,1179,535.75,239397,INE155A01022,2025-04-16T12:01:04.228Z,2025-04-16T12:01:04.228Z,0,,616.73,16-Apr-2025,
67fe4a632dfc920eec059b56,TATAMOTORS,EQ,N,2025-04-15,2025-04-14T18:30:00.000Z,628.3,612.65,614.0,622.2,622.5,595.05,19722072,12277750909.25,1179,535.75,270996,INE155A01022,2025-04-15T12:00:35.239Z,2025-04-15T12:00:35.239Z,0,,622.54,15-Apr-2025,
67f904805a5cac07a44f3f7b,TATAMOTORS,EQ,N,2025-04-11,2025-04-10T18:30:00.000Z,612.8,591.0,610.0,595.05,596.0,582.9,21055814,12647785093.45,1179,535.75,329700,INE155A01022,2025-04-11T12:01:04.747Z,2025-04-11T12:01:04.747Z,0,,600.68,11-Apr-2025,
67f69db97ae58b33d2a305f9,TATAMOTORS,EQ,N,2025-04-09,2025-04-08T18:30:00.000Z,594.9,581.05,588.0,582.9,584.5,588.85,17483412,10271259845.3,1179,535.75,250692,INE155A01022,2025-04-09T16:18:01.318Z,2025-04-09T16:18:01.318Z,0,,587.49,09-Apr-2025,
67f50fe26a77f64cd494dc51,TATAMOTORS,EQ,N,2025-04-08,2025-04-07T18:30:00.000Z,606.6,584.2,591.2,588.85,589.9,579.75,20987855,12411469508.0,1179,535.75,348681,INE155A01022,2025-04-08T12:00:34.541Z,2025-04-08T12:00:34.541Z,0,,591.36,08-Apr-2025,
67f3be640765ef4dcd3b0daf,TATAMOTORS,EQ,N,2025-04-07,2025-04-06T18:30:00.000Z,582.0,535.75,560.5,579.75,581.1,613.85,49463598,27855984564.1,1179,535.75,835816,INE155A01022,2025-04-07T12:00:36.453Z,2025-04-07T12:00:36.453Z,0,,563.16,07-Apr-2025,
67efc9e2123f84d3eef255fa,TATAMOTORS,EQ,N,2025-04-04,2025-04-03T18:30:00.000Z,650.0,610.0,650.0,613.85,615.1,653.95,26621179,16504136462.55,1179,606.3,591360,INE155A01022,2025-04-04T12:00:34.691Z,2025-04-04T12:00:34.691Z,0,,619.96,04-Apr-2025,
67ee786441ab5cacc194b576,TATAMOTORS,EQ,N,2025-04-03,2025-04-02T18:30:00.000Z,669.0,652.5,660.0,653.95,655.55,671.9,13473832,8880357349.1,1179,606.3,295801,INE155A01022,2025-04-03T12:00:36.951Z,2025-04-03T12:00:36.951Z,0,,659.08,03-Apr-2025,
67ed26e5b10b7d06dbc23e28,TATAMOTORS,EQ,N,2025-04-02,2025-04-01T18:30:00.000Z,675.35,662.1,674.95,671.9,672.2,671.85,8025225,5374877123.65,1179,606.3,134666,INE155A01022,2025-04-02T12:00:37.750Z,2025-04-02T12:00:37.750Z,0,,669.75,02-Apr-2025,
688b588c0ee19dd92adc91b0,TATAMOTORS,EQ,N,2025-07-31,2025-07-30T18:30:00.000Z,673.4,652.35,659.85,665.95,666.45,668.45,18723710,12464381596.75,1179,535.75,291431,INE155A01022,2025-07-31T11:50:36.481Z,2025-07-31T11:50:36.481Z,0,,665.7,31-Jul-2025,
688a070bd278b8c17847a6c1,TATAMOTORS,EQ,N,2025-07-30,2025-07-29T18:30:00.000Z,690.0,665.25,690.0,668.45,668.0,692.35,18923129,12667617060.0,1179,535.75,405426,INE155A01022,2025-07-30T11:50:35.666Z,2025-07-30T11:50:35.666Z,0,,669.43,30-Jul-2025,
6888b58b1c90d019ecaeacb6,TATAMOTORS,EQ,N,2025-07-29,2025-07-28T18:30:00.000Z,694.0,680.6,681.9,692.35,691.75,682.9,6239871,4296280668.2,1179,535.75,135285,INE155A01022,2025-07-29T11:50:35.866Z,2025-07-29T11:50:35.866Z,0,,688.52,29-Jul-2025,
6887640b044c5411111c46d8,TATAMOTORS,EQ,N,2025-07-28,2025-07-27T18:30:00.000Z,700.5,681.4,690.7,682.9,684.05,687.4,7788718,5378990005.55,1179,535.75,141239,INE155A01022,2025-07-28T11:50:35.771Z,2025-07-28T11:50:35.771Z,0,,690.61,28-Jul-2025,
6883a1d218df3546ea2df36d,TATAMOTORS,EQ,N,2025-07-25,2025-07-24T18:30:00.000Z,702.45,684.7,701.0,687.4,687.55,700.5,7271718,5022996036.8,1179,535.75,143186,,2025-07-25T15:25:06.445Z,2025-07-25T15:25:06.445Z,0,,690.76,25-Jul-2025,
68835ccc4dc48b9c7744d1f7,TATAMOTORS,EQ,N,2025-07-24,2025-07-23T18:30:00.000Z,706.5,692.3,692.7,700.5,701.3,690.1,15197664,10670685136.65,1179,535.75,206983,,2025-07-25T10:30:36.416Z,2025-07-25T10:30:36.416Z,0,,702.13,24-Jul-2025,
6880fdc37ecfaaea17e57648,TATAMOTORS,EQ,N,2025-07-23,2025-07-22T18:30:00.000Z,693.1,676.25,676.7,690.1,690.9,673.4,14460727,9959611739.5,1179,535.75,196481,,2025-07-23T15:20:35.788Z,2025-07-23T15:20:35.788Z,0,,688.74,23-Jul-2025,
687fab36a686a06cbf0559cd,TATAMOTORS,EQ,N,2025-07-22,2025-07-21T18:30:00.000Z,688.85,672.35,688.0,673.4,675.5,687.45,7749518,5248679553.2,1179,535.75,190083,,2025-07-22T15:16:06.370Z,2025-07-22T15:16:06.370Z,0,,677.29,22-Jul-2025,
687f684dd7e70b10aff9b10a,TATAMOTORS,EQ,N,2025-07-21,2025-07-20T18:30:00.000Z,688.5,671.25,680.5,687.45,687.45,680.25,6731863,4589685772.9,1179,535.75,126501,,2025-07-22T10:30:37.150Z,2025-07-22T10:30:37.150Z,0,,681.79,21-Jul-2025,
687a350a3978ddd7569b6b95,TATAMOTORS,EQ,N,2025-07-18,2025-07-17T18:30:00.000Z,686.0,678.0,683.2,680.25,680.45,681.7,5558670,3788633741.95,1179,535.75,92747,INE155A01022,2025-07-18T11:50:34.855Z,2025-07-18T11:50:34.855Z,0,,681.57,18-Jul-2025,
6878e38b18dd117ed3bd08da,TATAMOTORS,EQ,N,2025-07-17,2025-07-16T18:30:00.000Z,686.9,678.15,679.0,681.7,682.2,679.0,6598144,4506501664.55,1179,535.75,118601,INE155A01022,2025-07-17T11:50:35.482Z,2025-07-17T11:50:35.482Z,0,,683.0,17-Jul-2025,
6877920a1a5d7281135d2f0b,TATAMOTORS,EQ,N,2025-07-16,2025-07-15T18:30:00.000Z,684.4,676.35,684.4,679.0,679.0,684.4,6244205,4240668251.55,1179,535.75,112327,INE155A01022,2025-07-16T11:50:34.777Z,2025-07-16T11:50:34.777Z,0,,679.14,16-Jul-2025,
6876408c81227d74b0e11578,TATAMOTORS,EQ,N,2025-07-15,2025-07-14T18:30:00.000Z,685.95,674.3,676.0,684.4,683.0,674.5,7041706,4795841533.2,1179,535.75,135711,INE155A01022,2025-07-15T11:50:36.492Z,2025-07-15T11:50:36.492Z,0,,681.06,15-Jul-2025,
6874ef0ba395a2622d1e2ba8,TATAMOTORS,EQ,N,2025-07-14,2025-07-13T18:30:00.000Z,681.0,672.0,681.0,674.5,674.8,681.8,7748550,5239878236.4,1179,535.75,181930,INE155A01022,2025-07-14T11:50:35.032Z,2025-07-14T11:50:35.032Z,0,,676.24,14-Jul-2025,
6870fa8b87d5fc908abf5017,TATAMOTORS,EQ,N,2025-07-11,2025-07-10T18:30:00.000Z,698.4,677.05,692.95,681.8,679.0,695.6,8280654,5689612873.55,1179,535.75,159362,INE155A01022,2025-07-11T11:50:35.402Z,2025-07-11T11:50:35.402Z,0,,687.1,11-Jul-2025,
686fa90ba181ef9ca98d462e,TATAMOTORS,EQ,N,2025-07-10,2025-07-09T18:30:00.000Z,696.75,685.0,692.0,695.6,695.5,692.8,7733963,5346777171.35,1179,535.75,143758,INE155A01022,2025-07-10T11:50:35.407Z,2025-07-10T11:50:35.407Z,0,,691.34,10-Jul-2025,
686e578bd49a1dbc6aebc4a7,TATAMOTORS,EQ,N,2025-07-09,2025-07-08T18:30:00.000Z,695.5,688.5,688.95,692.8,692.3,693.2,5478813,3793125623.8,1179,535.75,110466,INE155A01022,2025-07-09T11:50:35.632Z,2025-07-09T11:50:35.632Z,0,,692.33,09-Jul-2025,
686d0628be61266fb5235b9b,TATAMOTORS,EQ,N,2025-07-08,2025-07-07T18:30:00.000Z,696.95,687.5,693.0,693.2,692.9,688.85,7615926,5269175943.15,1179,535.75,112199,INE155A01022,2025-07-08T11:51:04.198Z,2025-07-08T11:51:04.198Z,0,,691.86,08-Jul-2025,
686bb48b7e5ccb38a4dbe55a,TATAMOTORS,EQ,N,2025-07-07,2025-07-06T18:30:00.000Z,691.95,683.35,689.05,688.85,688.5,689.05,5428220,3736338895.65,1179,535.75,116439,INE155A01022,2025-07-07T11:50:35.905Z,2025-07-07T11:50:35.905Z,0,,688.32,07-Jul-2025,
6867c00b1c6bb4f6783dc4a4,TATAMOTORS,EQ,N,2025-07-04,2025-07-03T18:30:00.000Z,692.85,686.35,691.0,689.05,688.0,690.4,4942900,3405368801.45,1179,535.75,95228,INE155A01022,2025-07-04T11:50:35.112Z,2025-07-04T11:50:35.112Z,0,,688.94,04-Jul-2025,
